miss_id,miss_char,miss_count,created_at,updated_at,user_id
276,h,39,2025-04-03 03:45:35.407447+00,2025-06-30 09:27:04.905185+00,eb06d3ea-4a70-462c-9f56-d5e1979eb96f
205,z,5,2025-04-02 01:40:08.45221+00,2025-06-24 05:49:58.789195+00,6bdcd97d-6502-462a-84f1-b5d3afefa313
394,b,2,2025-04-04 09:27:52.746391+00,2025-04-08 00:15:33.900154+00,8c011ea6-b400-49f2-9db5-2c8ed2b5c3d2
230,u,1493,2025-04-02 01:40:56.700336+00,2025-06-30 07:35:14.016373+00,327e4006-267d-40b0-88bb-2c4e84cefcad
18,r,1048,2025-04-02 01:34:00.549721+00,2025-06-30 08:08:30.168098+00,29a91abd-7963-46c8-96ff-3a074cf2d6f5
274,k,61,2025-04-03 03:45:35.404594+00,2025-06-30 09:35:53.313135+00,eb06d3ea-4a70-462c-9f56-d5e1979eb96f
255,k,79,2025-04-02 04:35:16.869089+00,2025-06-26 00:24:49.880345+00,604a9905-049d-4602-9495-86fa730795bf
402,f,37,2025-04-07 01:16:32.967204+00,2025-06-27 00:10:33.303737+00,99f7fcb9-8b5e-4cdd-a371-35d9c2a8a200
84,e,492,2025-04-02 01:34:08.647096+00,2025-06-30 06:24:52.370669+00,ed7db178-e6d4-4007-8bbe-cd6781641ae6
249,a,177,2025-04-02 04:35:16.860989+00,2025-06-30 09:42:18.586945+00,604a9905-049d-4602-9495-86fa730795bf
273,d,42,2025-04-03 03:45:35.401847+00,2025-06-30 09:35:53.31487+00,eb06d3ea-4a70-462c-9f56-d5e1979eb96f
16,k,810,2025-04-02 01:34:00.547012+00,2025-06-30 08:08:30.169378+00,29a91abd-7963-46c8-96ff-3a074cf2d6f5
245,d,278,2025-04-02 01:41:05.514657+00,2025-06-30 09:15:27.594821+00,683c0b43-1d2d-4e5a-b3ee-00de940a021c
114,y,191,2025-04-02 01:34:13.404795+00,2025-06-30 09:38:28.178528+00,683c0b43-1d2d-4e5a-b3ee-00de940a021c
265,w,16,2025-04-02 09:43:28.685025+00,2025-06-24 06:50:44.570593+00,6bdcd97d-6502-462a-84f1-b5d3afefa313
388,j,66,2025-04-04 07:55:13.225749+00,2025-06-30 09:14:03.915059+00,575e0431-1085-4d49-9191-86fd4695b554
17,a,1849,2025-04-02 01:34:00.548352+00,2025-06-30 08:08:30.170662+00,29a91abd-7963-46c8-96ff-3a074cf2d6f5
151,k,695,2025-04-02 01:39:22.290432+00,2025-06-30 09:14:46.779071+00,7b341d92-c6ef-4d5d-bf17-6551f9842b9f
159,t,291,2025-04-02 01:39:49.012116+00,2025-06-30 09:14:03.923605+00,575e0431-1085-4d49-9191-86fd4695b554
272,e,113,2025-04-03 03:45:35.398836+00,2025-06-30 09:27:04.908079+00,eb06d3ea-4a70-462c-9f56-d5e1979eb96f
260,n,130,2025-04-02 04:35:16.875698+00,2025-06-30 09:42:18.588688+00,604a9905-049d-4602-9495-86fa730795bf
271,r,239,2025-04-03 02:57:04.700002+00,2025-06-30 09:17:29.22817+00,9f27d136-09de-407f-b405-7120b2d55daa
